frame_number,timestamp_ms,landmark_name,x,y,z
135,117676244,pose_LEFT_SHOULDER,0.15485,0.44206,-0.15432
135,117676244,pose_RIGHT_SHOULDER,-0.08317,0.45316,-0.15697
135,117676244,pose_LEFT_ELBOW,0.255,0.67871,-0.07014
135,117676244,pose_RIGHT_ELBOW,-0.10663,0.68434,-0.14127
135,117676244,pose_LEFT_WRIST,0.29126,0.90701,-0.32033
135,117676244,pose_RIGHT_WRIST,-0.0749,0.82819,-0.46693
135,117676244,pose_LEFT_PINKY,0.29984,0.96301,-0.39187
135,117676244,pose_RIGHT_PINKY,-0.06408,0.88083,-0.54447
135,117676244,pose_LEFT_INDEX,0.26743,0.96304,-0.46937
135,117676244,pose_RIGHT_INDEX,-0.05959,0.86543,-0.61938
135,117676244,pose_LEFT_THUMB,0.26561,0.9437,-0.35701
135,117676244,pose_RIGHT_THUMB,-0.05821,0.84503,-0.50508
135,117676244,pose_LEFT_HIP,0.13223,0.97364,-0.02923
135,117676244,pose_RIGHT_HIP,0.0125,0.97471,0.02993
135,117676244,pose_LEFT_KNEE,0.12613,1.3465,-0.11647
135,117676244,pose_RIGHT_KNEE,-0.03669,1.33209,-0.02984
135,117676244,pose_LEFT_ANKLE,0.14289,1.68312,0.3604
135,117676244,pose_RIGHT_ANKLE,0.01206,1.66801,0.31609
135,117676244,pose_LEFT_HEEL,0.14713,1.73264,0.39091
135,117676244,pose_RIGHT_HEEL,0.01991,1.71345,0.32939
135,117676244,pose_LEFT_FOOT_INDEX,0.1358,1.77892,0.08482
135,117676244,pose_RIGHT_FOOT_INDEX,0.02725,1.7676,-0.02938
137,117676311,pose_LEFT_SHOULDER,0.10511,0.43527,-0.09788
137,117676311,pose_RIGHT_SHOULDER,-0.09672,0.45581,-0.08154
137,117676311,pose_LEFT_ELBOW,0.2257,0.64108,-0.03782
137,117676311,pose_RIGHT_ELBOW,-0.09415,0.72262,0.00559
137,117676311,pose_LEFT_WRIST,0.31826,0.82118,-0.11898
137,117676311,pose_RIGHT_WRIST,-0.05549,0.97775,-0.0487
137,117676311,pose_LEFT_PINKY,0.35224,0.8655,-0.13991
137,117676311,pose_RIGHT_PINKY,-0.04652,1.06015,-0.05564
137,117676311,pose_LEFT_INDEX,0.35341,0.87971,-0.18629
137,117676311,pose_RIGHT_INDEX,-0.03549,1.06038,-0.13571
137,117676311,pose_LEFT_THUMB,0.32675,0.86776,-0.1401
137,117676311,pose_RIGHT_THUMB,-0.03301,1.03153,-0.08327
137,117676311,pose_LEFT_HIP,0.10629,0.96852,-0.03475
137,117676311,pose_RIGHT_HIP,-0.0344,0.97617,0.03578
137,117676311,pose_LEFT_KNEE,0.11958,1.3475,0.00903
137,117676311,pose_RIGHT_KNEE,-0.03073,1.33903,0.07381
137,117676311,pose_LEFT_ANKLE,0.13967,1.69331,0.31333
137,117676311,pose_RIGHT_ANKLE,0.01184,1.68589,0.26549
137,117676311,pose_LEFT_HEEL,0.14446,1.74599,0.32997
137,117676311,pose_RIGHT_HEEL,0.02002,1.73482,0.27241
137,117676311,pose_LEFT_FOOT_INDEX,0.13265,1.79229,0.09916
137,117676311,pose_RIGHT_FOOT_INDEX,0.02949,1.78485,0.00763
138,117676444,pose_LEFT_SHOULDER,0.08402,0.42569,-0.16473
138,117676444,pose_RIGHT_SHOULDER,-0.14325,0.45547,-0.11015
138,117676444,pose_LEFT_ELBOW,0.2196,0.59784,-0.04901
138,117676444,pose_RIGHT_ELBOW,-0.13742,0.72117,-0.15769
138,117676444,pose_LEFT_WRIST,0.37321,0.75666,-0.106
