frame_number,timestamp_ms,landmark_name,visible,x,y,z
14,466,pose_RIGHT_THUMB,0.92129,0.43297,0.37963,-0.0899
14,466,pose_LEFT_HIP,0.99955,0.42094,0.55716,0.08184
14,466,pose_RIGHT_HIP,0.99917,0.38386,0.55742,-0.08173
14,466,pose_LEFT_KNEE,0.97039,0.45115,0.69681,0.07413
14,466,pose_RIGHT_KNEE,0.99393,0.37112,0.70557,-0.04729
14,466,pose_LEFT_ANKLE,0.98741,0.45258,0.85225,0.15982
14,466,pose_RIGHT_ANKLE,0.99262,0.33793,0.85698,0.07386
14,466,pose_LEFT_HEEL,0.96586,0.44417,0.88106,0.1626
14,466,pose_RIGHT_HEEL,0.90339,0.33122,0.87614,0.08076
14,466,pose_LEFT_FOOT_INDEX,0.98658,0.49291,0.89247,0.0848
14,466,pose_RIGHT_FOOT_INDEX,0.98948,0.36095,0.9068,-0.01253
16,533,pose_LEFT_SHOULDER,0.9995,0.42147,0.32713,0.13205
16,533,pose_RIGHT_SHOULDER,0.99991,0.38384,0.31676,-0.15616
16,533,pose_LEFT_ELBOW,0.35112,0.43431,0.43756,0.13254
16,533,pose_RIGHT_ELBOW,0.98998,0.39999,0.42082,-0.17175
16,533,pose_LEFT_WRIST,0.59951,0.44012,0.45072,-0.05179
16,533,pose_RIGHT_WRIST,0.97424,0.44898,0.39977,-0.0542
16,533,pose_LEFT_PINKY,0.59443,0.44295,0.46858,-0.07732
16,533,pose_RIGHT_PINKY,0.9511,0.45816,0.39763,-0.06108
16,533,pose_LEFT_INDEX,0.61863,0.4422,0.44807,-0.0876
16,533,pose_RIGHT_INDEX,0.95013,0.45621,0.38105,-0.06201
16,533,pose_LEFT_THUMB,0.59953,0.43987,0.44609,-0.06344
16,533,pose_RIGHT_THUMB,0.91849,0.45118,0.38222,-0.04884
16,533,pose_LEFT_HIP,0.99938,0.42627,0.56023,0.08399
16,533,pose_RIGHT_HIP,0.99888,0.39424,0.55937,-0.0839
16,533,pose_LEFT_KNEE,0.96122,0.45648,0.69507,0.06342
16,533,pose_RIGHT_KNEE,0.99306,0.38047,0.7035,-0.06569
16,533,pose_LEFT_ANKLE,0.98474,0.45762,0.85442,0.10481
16,533,pose_RIGHT_ANKLE,0.99213,0.3389,0.85664,0.04413
16,533,pose_LEFT_HEEL,0.96305,0.44918,0.88613,0.10341
16,533,pose_RIGHT_HEEL,0.90452,0.33112,0.87632,0.04998
16,533,pose_LEFT_FOOT_INDEX,0.98487,0.49972,0.89129,0.03378
16,533,pose_RIGHT_FOOT_INDEX,0.98891,0.35961,0.90576,-0.04145
18,600,pose_LEFT_SHOULDER,0.99927,0.42173,0.33109,0.21845
18,600,pose_RIGHT_SHOULDER,0.99991,0.39228,0.31968,-0.07419
18,600,pose_LEFT_ELBOW,0.29278,0.43977,0.4447,0.19137
18,600,pose_RIGHT_ELBOW,0.98981,0.40172,0.43299,-0.14405
18,600,pose_LEFT_WRIST,0.50589,0.4452,0.47409,0.05966
18,600,pose_RIGHT_WRIST,0.97468,0.45055,0.40055,-0.12981
18,600,pose_LEFT_PINKY,0.50723,0.45242,0.49008,0.04344
18,600,pose_RIGHT_PINKY,0.95296,0.46206,0.39925,-0.14679
18,600,pose_LEFT_INDEX,0.52804,0.45224,0.47633,0.03492
18,600,pose_RIGHT_INDEX,0.95145,0.46125,0.38275,-0.14459
18,600,pose_LEFT_THUMB,0.5126,0.44821,0.47048,0.05011
18,600,pose_RIGHT_THUMB,0.9186,0.45604,0.3838,-0.12467
18,600,pose_LEFT_HIP,0.99925,0.4362,0.55996,0.08583
18,600,pose_RIGHT_HIP,0.99876,0.41112,0.55652,-0.08575
18,600,pose_LEFT_KNEE,0.93732,0.45995,0.69478,0.01586
18,600,pose_RIGHT_KNEE,0.99216,0.41089,0.69049,-0.19481
18,600,pose_LEFT_ANKLE,0.97708,0.45979,0.85701,0.00216
18,600,pose_RIGHT_ANKLE,0.99077,0.34224,0.85146,-0.22618
18,600,pose_LEFT_HEEL,0.95533,0.45181,0.89091,-0.00518
18,600,pose_RIGHT_HEEL,0.90594,0.33106,0.87191,-0.23238
18,600,pose_LEFT_FOOT_INDEX,0.98005,0.50275,0.89136,-0.07348
18,600,pose_RIGHT_FOOT_INDEX,0.98779,0.3597,0.90082,-0.31646
